%     Depth,Temperature_,TC_m,RHOC_m,PHI,    RHOB,TC_m_min,TC_m_max,RHOC_m_miD,RHOC_m_max,TC.log	,      RHOC.log,RHP
%         m,          °C,W/(mK),kJ/(m³K),n/n,g/cm³,    W/(mK),    W/(mK),kJ/(m³K),kJ/(m³K),W/(mK)	,   kJ/(m³K),µW/m³	
543,24.42,7.331,1.554,0.3,2.155,6.232,8.431,1.32,1.787,3.467,2.332,0.255
543.5,24.43,7.114,1.552,0.3,2.155,6.047,8.182,1.319,1.785,3.395,2.332,0.275
544,24.43,6.9,1.551,0.3,2.155,5.865,7.935,1.318,1.783,3.323,2.331,0.296
544.5,24.45,6.687,1.549,0.3,2.155,5.684,7.69,1.317,1.782,3.251,2.33,0.316
545,24.45,6.476,1.548,0.3,2.155,5.505,7.448,1.316,1.78,3.179,2.329,0.336
545.5,24.47,6.568,1.549,0.3,2.155,5.583,7.554,1.316,1.781,3.21,2.329,0.327
546,24.47,7.26,1.553,0.3,2.155,6.171,8.349,1.32,1.786,3.443,2.332,0.262
546.5,24.49,7.495,1.554,0.3,2.155,6.371,8.62,1.321,1.788,3.521,2.333,0.24
547,24.49,7.67,1.555,0.3,2.155,6.52,8.821,1.322,1.789,3.578,2.334,0.223
547.5,24.5,7.847,1.556,0.3,2.155,6.67,9.024,1.323,1.79,3.636,2.334,0.207
548,24.5,8.025,1.557,0.3,2.155,6.821,9.229,1.324,1.791,3.693,2.335,0.191
548.5,24.52,7.903,1.557,0.3,2.155,6.718,9.089,1.323,1.79,3.654,2.335,0.202
549,24.52,7.511,1.555,0.3,2.155,6.384,8.637,1.321,1.788,3.526,2.333,0.238
549.5,24.54,7.124,1.552,0.3,2.155,6.056,8.193,1.319,1.785,3.398,2.332,0.274
550,24.54,6.744,1.55,0.3,2.155,5.733,7.756,1.317,1.782,3.27,2.33,0.31
550.5,24.56,6.961,1.551,0.3,2.155,5.917,8.005,1.319,1.784,3.343,2.331,0.29
551,24.56,7.275,1.553,0.3,2.155,6.183,8.366,1.32,1.786,3.448,2.332,0.26
551.5,24.57,7.593,1.555,0.3,2.155,6.454,8.732,1.322,1.788,3.553,2.334,0.231
552,24.57,7.519,1.555,0.3,2.155,6.391,8.647,1.321,1.788,3.529,2.333,0.237
552.5,24.6,7.364,1.554,0.3,2.155,6.26,8.469,1.321,1.787,3.478,2.333,0.252
553,24.6,7.21,1.553,0.3,2.155,6.128,8.291,1.32,1.786,3.427,2.332,0.266
553.5,24.61,7.081,1.552,0.3,2.155,6.019,8.143,1.319,1.785,3.384,2.331,0.278
554,24.61,6.966,1.551,0.3,2.155,5.921,8.011,1.319,1.784,3.345,2.331,0.289
554.5,24.62,6.809,1.55,0.3,2.155,5.788,7.831,1.318,1.783,3.292,2.33,0.304
555,24.62,6.455,1.548,0.3,2.155,5.487,7.423,1.316,1.78,3.171,2.328,0.338
555.5,24.65,6.484,1.548,0.3,2.155,5.511,7.456,1.316,1.78,3.181,2.329,0.336
556,24.65,6.53,1.548,0.3,2.155,5.55,7.509,1.316,1.781,3.197,2.329,0.331
556.5,24.67,6.345,1.547,0.3,2.155,5.393,7.296,1.315,1.779,3.133,2.328,0.349
557,24.67,6.162,1.546,0.3,2.155,5.237,7.086,1.314,1.777,3.07,2.327,0.367
557.5,24.69,5.98,1.544,0.3,2.155,5.083,6.877,1.312,1.776,3.006,2.326,0.385
558,24.69,3.575,2.075,0.12,2.452,3.039,4.111,1.764,2.386,2.888,2.324,0.419
558.5,24.7,3.215,2.069,0.12,2.452,2.733,3.697,1.759,2.379,2.63,2.319,0.491
559,24.7,2.859,2.062,0.12,2.452,2.43,3.288,1.753,2.372,2.373,2.313,0.564
559.5,24.72,2.509,2.054,0.12,2.452,2.133,2.886,1.746,2.362,2.115,2.305,0.637
560,24.72,2.192,2.044,0.12,2.452,1.863,2.521,1.737,2.35,1.878,2.296,0.704
560.5,24.74,1.9,2.032,0.12,2.452,1.615,2.185,1.727,2.337,1.656,2.286,0.767
561,24.74,1.613,2.017,0.12,2.452,1.371,1.855,1.714,2.319,1.434,2.273,0.83
561.5,24.76,1.332,1.996,0.12,2.452,1.133,1.532,1.697,2.296,1.212,2.255,0.892
562,24.76,1.628,2.018,0.12,2.452,1.384,1.872,1.715,2.32,1.445,2.274,0.826
562.5,24.78,2.019,2.037,0.12,2.452,1.716,2.322,1.732,2.343,1.747,2.291,0.741
563,24.78,2.254,2.046,0.12,2.452,1.916,2.592,1.739,2.353,1.925,2.298,0.691
563.5,24.8,1.967,2.035,0.12,2.452,1.672,2.262,1.73,2.34,1.707,2.289,0.752
564,24.8,1.934,2.034,0.12,2.452,1.644,2.224,1.729,2.339,1.682,2.288,0.759
564.5,24.82,2.059,2.039,0.12,2.452,1.75,2.367,1.733,2.345,1.777,2.292,0.733
565,24.82,1.993,2.036,0.12,2.452,1.694,2.292,1.731,2.342,1.727,2.29,0.747
565.5,24.85,1.811,2.028,0.12,2.452,1.539,2.082,1.724,2.332,1.587,2.282,0.786
566,24.85,1.631,2.018,0.12,2.452,1.386,1.875,1.715,2.321,1.448,2.274,0.826
566.5,24.87,1.73,2.024,0.12,2.452,1.471,1.99,1.72,2.327,1.525,2.279,0.804
567,24.87,1.88,2.031,0.12,2.452,1.598,2.162,1.726,2.336,1.641,2.285,0.771
567.5,24.89,1.838,2.029,0.12,2.452,1.562,2.114,1.725,2.333,1.608,2.284,0.78
568,24.89,1.885,2.031,0.12,2.452,1.602,2.168,1.727,2.336,1.644,2.286,0.77
568.5,24.92,2.274,2.047,0.12,2.452,1.933,2.615,1.74,2.354,1.94,2.299,0.687
569,24.92,2.492,2.053,0.12,2.452,2.118,2.865,1.745,2.361,2.102,2.305,0.641
569.5,24.94,2.614,2.056,0.12,2.452,2.222,3.006,1.748,2.365,2.193,2.308,0.615
570,24.94,4.037,1.522,0.3,2.155,3.431,4.642,1.294,1.75,2.283,2.31,0.589
570.5,24.96,4.267,1.525,0.3,2.155,3.627,4.908,1.297,1.754,2.374,2.313,0.564
571,24.96,4.501,1.529,0.3,2.155,3.826,5.177,1.299,1.758,2.464,2.315,0.538
571.5,24.99,5.021,1.535,0.3,2.155,4.268,5.774,1.305,1.765,2.66,2.319,0.483
572,24.99,5.793,1.543,0.3,2.155,4.924,6.662,1.311,1.774,2.94,2.325,0.404
572.5,25.01,5.991,1.544,0.3,2.155,5.092,6.889,1.313,1.776,3.01,2.326,0.384
573,25.01,6.19,1.546,0.3,2.155,5.262,7.119,1.314,1.778,3.08,2.327,0.364
573.5,25.03,6.392,1.547,0.3,2.155,5.433,7.35,1.315,1.779,3.149,2.328,0.345
574,25.03,6.595,1.549,0.3,2.155,5.606,7.584,1.316,1.781,3.219,2.329,0.325
574.5,25.06,6.6,1.549,0.3,2.155,5.61,7.589,1.316,1.781,3.221,2.329,0.324
575,25.06,6.262,1.546,0.3,2.155,5.323,7.202,1.314,1.778,3.105,2.327,0.357
575.5,25.08,5.851,1.543,0.3,2.155,4.973,6.729,1.312,1.774,2.961,2.325,0.398
576,25.08,3.39,2.072,0.12,2.452,2.882,3.899,1.761,2.383,2.756,2.321,0.456
576.5,25.1,3.106,2.067,0.12,2.452,2.64,3.572,1.757,2.377,2.552,2.317,0.513
577,25.1,4.2,1.524,0.3,2.155,3.57,4.83,1.296,1.753,2.348,2.312,0.571
577.5,25.12,4.851,1.533,0.3,2.155,4.123,5.578,1.303,1.763,2.596,2.318,0.501
578,25.12,5.667,1.541,0.3,2.155,4.817,6.517,1.31,1.773,2.895,2.324,0.417
578.5,25.14,6.521,1.548,0.3,2.155,5.543,7.499,1.316,1.78,3.194,2.329,0.332
579,25.14,6.736,1.55,0.3,2.155,5.726,7.746,1.317,1.782,3.267,2.33,0.311
579.5,25.15,6.901,1.551,0.3,2.155,5.866,7.936,1.318,1.783,3.323,2.331,0.295
580,25.15,6.834,1.55,0.3,2.155,5.809,7.859,1.318,1.783,3.301,2.33,0.302
580.5,25.17,6.687,1.549,0.3,2.155,5.684,7.69,1.317,1.782,3.251,2.33,0.316
581,25.17,6.539,1.548,0.3,2.155,5.558,7.519,1.316,1.781,3.2,2.329,0.33
581.5,25.19,5.814,1.543,0.3,2.155,4.942,6.687,1.311,1.774,2.948,2.325,0.402
582,25.19,3.305,2.071,0.12,2.452,2.809,3.801,1.76,2.381,2.695,2.32,0.473
582.5,25.21,2.955,2.064,0.12,2.452,2.512,3.398,1.755,2.374,2.443,2.314,0.544
583,25.21,4.337,1.526,0.3,2.155,3.687,4.988,1.297,1.755,2.401,2.313,0.556
583.5,25.23,4.649,1.531,0.3,2.155,3.951,5.346,1.301,1.76,2.52,2.316,0.522
584,25.23,5.484,1.54,0.3,2.155,4.661,6.306,1.309,1.771,2.829,2.323,0.435
584.5,25.25,6.545,1.548,0.3,2.155,5.564,7.527,1.316,1.781,3.202,2.329,0.33
585,25.25,7.662,1.555,0.3,2.155,6.513,8.811,1.322,1.789,3.576,2.334,0.224
585.5,25.27,7.46,1.554,0.3,2.155,6.341,8.579,1.321,1.787,3.509,2.333,0.243
586,25.27,7.215,1.553,0.3,2.155,6.133,8.297,1.32,1.786,3.428,2.332,0.266
586.5,25.28,6.973,1.551,0.3,2.155,5.927,8.019,1.319,1.784,3.347,2.331,0.289
587,25.28,7.147,1.552,0.3,2.155,6.075,8.219,1.32,1.785,3.406,2.332,0.272
587.5,25.3,7.158,1.552,0.3,2.155,6.084,8.232,1.32,1.785,3.409,2.332,0.271
588,25.3,4.109,2.082,0.12,2.452,3.493,4.726,1.769,2.394,3.265,2.33,0.312
588.5,25.32,3.904,2.079,0.12,2.452,3.318,4.489,1.767,2.391,3.121,2.328,0.353
589,25.32,3.699,2.077,0.12,2.452,3.144,4.254,1.765,2.388,2.976,2.325,0.394
589.5,25.33,3.496,2.074,0.12,2.452,2.972,4.021,1.763,2.385,2.832,2.323,0.434
590,25.33,5.957,1.544,0.3,2.155,5.063,6.85,1.312,1.775,2.998,2.326,0.387
590.5,25.35,6.62,1.549,0.3,2.155,5.627,7.613,1.317,1.781,3.228,2.329,0.322
591,25.35,7.304,1.553,0.3,2.155,6.208,8.399,1.32,1.786,3.458,2.332,0.257
591.5,25.37,8.008,1.557,0.3,2.155,6.807,9.209,1.324,1.791,3.688,2.335,0.192
592,25.37,8.377,1.559,0.3,2.155,7.121,9.634,1.325,1.793,3.806,2.336,0.159
592.5,25.39,8.171,1.558,0.3,2.155,6.946,9.397,1.324,1.792,3.74,2.336,0.178
593,25.39,7.968,1.557,0.3,2.155,6.772,9.163,1.323,1.791,3.675,2.335,0.196
593.5,25.41,7.765,1.556,0.3,2.155,6.6,8.929,1.323,1.789,3.609,2.334,0.215
594,25.41,7.563,1.555,0.3,2.155,6.429,8.698,1.322,1.788,3.543,2.333,0.233
594.5,25.43,7.693,1.556,0.3,2.155,6.539,8.847,1.322,1.789,3.586,2.334,0.221
595,25.43,8.105,1.558,0.3,2.155,6.889,9.321,1.324,1.791,3.719,2.335,0.184
595.5,25.44,7.868,1.556,0.3,2.155,6.688,9.048,1.323,1.79,3.643,2.335,0.205
596,25.44,7.95,1.557,0.3,2.155,6.757,9.142,1.323,1.79,3.669,2.335,0.198
596.5,25.46,8.039,1.557,0.3,2.155,6.833,9.245,1.324,1.791,3.698,2.335,0.19
597,25.46,8.254,1.558,0.3,2.155,7.016,9.492,1.325,1.792,3.767,2.336,0.17
597.5,25.48,8.489,1.56,0.3,2.155,7.215,9.762,1.326,1.793,3.841,2.337,0.149
598,25.48,8.324,1.559,0.3,2.155,7.075,9.573,1.325,1.793,3.789,2.336,0.164
598.5,25.49,8.05,1.557,0.3,2.155,6.843,9.258,1.324,1.791,3.702,2.335,0.189
599,25.49,8.147,1.558,0.3,2.155,6.925,9.369,1.324,1.792,3.733,2.336,0.18
599.5,25.51,8.088,1.558,0.3,2.155,6.875,9.301,1.324,1.791,3.714,2.335,0.185
600,25.51,7.91,1.557,0.3,2.155,6.724,9.097,1.323,1.79,3.656,2.335,0.201
600.5,25.53,7.873,1.557,0.3,2.155,6.692,9.054,1.323,1.79,3.644,2.335,0.205
601,25.53,7.862,1.556,0.3,2.155,6.683,9.042,1.323,1.79,3.641,2.335,0.206
601.5,25.55,8.144,1.558,0.3,2.155,6.922,9.365,1.324,1.792,3.732,2.336,0.18
602,25.55,8.284,1.559,0.3,2.155,7.041,9.527,1.325,1.792,3.776,2.336,0.167
602.5,25.57,8.154,1.558,0.3,2.155,6.931,9.377,1.324,1.792,3.735,2.336,0.179
603,25.57,8.564,1.56,0.3,2.155,7.279,9.849,1.326,1.794,3.865,2.337,0.142
603.5,25.58,8.98,1.562,0.3,2.155,7.633,10.327,1.327,1.796,3.996,2.338,0.105
604,25.58,8.952,1.562,0.3,2.155,7.61,10.295,1.327,1.796,3.987,2.338,0.108
604.5,25.6,8.788,1.561,0.3,2.155,7.47,10.107,1.327,1.795,3.936,2.338,0.122
605,25.6,8.625,1.56,0.3,2.155,7.331,9.919,1.326,1.794,3.885,2.337,0.137
605.5,25.62,8.258,1.558,0.3,2.155,7.019,9.497,1.325,1.792,3.768,2.336,0.17
606,25.62,7.86,1.556,0.3,2.155,6.681,9.039,1.323,1.79,3.64,2.335,0.206
606.5,25.63,7.468,1.554,0.3,2.155,6.347,8.588,1.321,1.787,3.512,2.333,0.242
607,25.63,7.47,1.554,0.3,2.155,6.349,8.59,1.321,1.787,3.513,2.333,0.242
607.5,25.65,7.935,1.557,0.3,2.155,6.744,9.125,1.323,1.79,3.664,2.335,0.199
608,25.65,8.408,1.559,0.3,2.155,7.147,9.669,1.325,1.793,3.816,2.336,0.156
608.5,25.67,8.032,1.557,0.3,2.155,6.827,9.237,1.324,1.791,3.696,2.335,0.19
609,25.67,7.625,1.555,0.3,2.155,6.481,8.768,1.322,1.788,3.563,2.334,0.228
609.5,25.69,7.223,1.553,0.3,2.155,6.14,8.307,1.32,1.786,3.431,2.332,0.265
610,25.69,6.828,1.55,0.3,2.155,5.804,7.852,1.318,1.783,3.299,2.33,0.302
610.5,25.71,6.557,1.549,0.3,2.155,5.574,7.541,1.316,1.781,3.206,2.329,0.329
611,25.71,7.021,1.552,0.3,2.155,5.968,8.074,1.319,1.784,3.364,2.331,0.284
611.5,25.72,7.495,1.554,0.3,2.155,6.37,8.619,1.321,1.788,3.521,2.333,0.24
612,25.72,7.868,1.556,0.3,2.155,6.688,9.048,1.323,1.79,3.643,2.335,0.205
612.5,25.74,7.442,1.554,0.3,2.155,6.326,8.558,1.321,1.787,3.503,2.333,0.245
613,25.74,7.023,1.552,0.3,2.155,5.969,8.076,1.319,1.784,3.364,2.331,0.284
613.5,25.76,6.639,1.549,0.3,2.155,5.643,7.635,1.317,1.781,3.234,2.329,0.321
614,25.76,6.296,1.547,0.3,2.155,5.352,7.241,1.315,1.779,3.116,2.328,0.354
614.5,25.78,5.96,1.544,0.3,2.155,5.066,6.854,1.312,1.776,2.999,2.326,0.387
615,25.78,5.628,1.541,0.3,2.155,4.784,6.472,1.31,1.772,2.881,2.324,0.42
615.5,25.79,5.035,1.535,0.3,2.155,4.279,5.79,1.305,1.765,2.665,2.32,0.482
616,25.79,4.228,1.525,0.3,2.155,3.594,4.863,1.296,1.754,2.358,2.312,0.568
616.5,25.81,3.496,1.512,0.3,2.155,2.971,4.02,1.285,1.739,2.064,2.304,0.651
617,25.81,2.14,2.042,0.12,2.452,1.819,2.461,1.736,2.348,1.839,2.295,0.715
617.5,25.83,1.844,2.029,0.12,2.452,1.568,2.121,1.725,2.334,1.613,2.284,0.779
618,25.83,1.622,2.017,0.12,2.452,1.379,1.866,1.715,2.32,1.441,2.273,0.827
618.5,25.86,1.405,2.002,0.12,2.452,1.194,1.615,1.702,2.303,1.269,2.26,0.876
619,25.86,1.318,1.995,0.12,2.452,1.121,1.516,1.696,2.294,1.201,2.254,0.895
619.5,25.88,1.535,2.012,0.12,2.452,1.305,1.765,1.71,2.314,1.372,2.268,0.847
620,25.88,1.755,2.025,0.12,2.452,1.492,2.019,1.721,2.329,1.544,2.28,0.798
620.5,25.89,1.99,2.036,0.12,2.452,1.692,2.289,1.731,2.341,1.725,2.29,0.747
621,25.89,2.229,2.045,0.12,2.452,1.895,2.563,1.738,2.352,1.906,2.298,0.696
621.5,25.92,2.471,2.053,0.12,2.452,2.101,2.842,1.745,2.36,2.087,2.304,0.645
622,25.92,2.733,2.059,0.12,2.452,2.323,3.143,1.75,2.368,2.281,2.31,0.59
622.5,25.94,3.017,2.065,0.12,2.452,2.564,3.47,1.756,2.375,2.487,2.316,0.532
623,25.94,5.025,1.535,0.3,2.155,4.271,5.779,1.305,1.765,2.661,2.319,0.483
623.5,25.97,4.851,1.533,0.3,2.155,4.123,5.578,1.303,1.763,2.596,2.318,0.501
624,25.97,4.799,1.532,0.3,2.155,4.079,5.518,1.302,1.762,2.577,2.318,0.506
624.5,25.99,4.719,1.531,0.3,2.155,4.011,5.427,1.302,1.761,2.547,2.317,0.515
625,25.99,4.174,1.524,0.3,2.155,3.548,4.8,1.295,1.753,2.337,2.312,0.574
625.5,26.01,4.312,1.526,0.3,2.155,3.665,4.959,1.297,1.755,2.391,2.313,0.559
626,26.01,4.48,1.528,0.3,2.155,3.808,5.152,1.299,1.758,2.456,2.315,0.541
626.5,26.04,4.531,1.529,0.3,2.155,3.851,5.21,1.3,1.758,2.475,2.315,0.535
627,26.04,4.235,1.525,0.3,2.155,3.6,4.87,1.296,1.754,2.361,2.312,0.567
627.5,26.06,4.068,1.522,0.3,2.155,3.458,4.678,1.294,1.751,2.296,2.311,0.586
628,26.06,3.928,1.52,0.3,2.155,3.339,4.517,1.292,1.748,2.24,2.309,0.602
628.5,26.08,3.726,1.517,0.3,2.155,3.167,4.285,1.289,1.744,2.159,2.307,0.625
629,26.08,3.575,1.514,0.3,2.155,3.039,4.112,1.287,1.741,2.097,2.305,0.642
629.5,26.1,3.797,1.518,0.3,2.155,3.227,4.366,1.29,1.746,2.187,2.307,0.617
630,26.1,4.124,1.523,0.3,2.155,3.505,4.743,1.295,1.752,2.318,2.311,0.58
630.5,26.12,4.5,1.529,0.3,2.155,3.825,5.174,1.299,1.758,2.463,2.315,0.539
631,26.12,4.884,1.533,0.3,2.155,4.151,5.617,1.303,1.763,2.609,2.318,0.497
631.5,26.14,4.883,1.533,0.3,2.155,4.151,5.616,1.303,1.763,2.609,2.318,0.497
632,26.14,4.712,1.531,0.3,2.155,4.005,5.419,1.302,1.761,2.544,2.317,0.516
632.5,26.17,4.544,1.529,0.3,2.155,3.862,5.226,1.3,1.759,2.48,2.315,0.534
633,26.17,4.377,1.527,0.3,2.155,3.72,5.033,1.298,1.756,2.416,2.314,0.552
633.5,26.18,4.212,1.525,0.3,2.155,3.58,4.844,1.296,1.753,2.352,2.312,0.57
634,26.18,4.563,1.529,0.3,2.155,3.879,5.248,1.3,1.759,2.488,2.316,0.532
634.5,26.21,4.761,1.532,0.3,2.155,4.047,5.476,1.302,1.762,2.563,2.317,0.51
635,26.21,4.631,1.53,0.3,2.155,3.937,5.326,1.301,1.76,2.514,2.316,0.524
635.5,26.23,4.532,1.529,0.3,2.155,3.852,5.212,1.3,1.758,2.476,2.315,0.535
636,26.23,4.523,1.529,0.3,2.155,3.845,5.202,1.3,1.758,2.472,2.315,0.536
636.5,26.25,4.515,1.529,0.3,2.155,3.838,5.193,1.299,1.758,2.469,2.315,0.537
637,26.25,4.507,1.529,0.3,2.155,3.831,5.183,1.299,1.758,2.466,2.315,0.538
637.5,26.27,4.499,1.529,0.3,2.155,3.824,5.174,1.299,1.758,2.463,2.315,0.539
638,26.27,4.583,1.53,0.3,2.155,3.896,5.271,1.3,1.759,2.495,2.316,0.529
638.5,26.3,4.686,1.531,0.3,2.155,3.983,5.388,1.301,1.761,2.534,2.317,0.518
639,26.3,4.868,1.533,0.3,2.155,4.138,5.599,1.303,1.763,2.603,2.318,0.499
639.5,26.32,5.06,1.535,0.3,2.155,4.301,5.819,1.305,1.766,2.674,2.32,0.479
640,26.32,5.255,1.537,0.3,2.155,4.467,6.043,1.307,1.768,2.746,2.321,0.459
640.5,26.34,5.147,1.536,0.3,2.155,4.375,5.919,1.306,1.767,2.706,2.32,0.47
641,26.34,4.911,1.534,0.3,2.155,4.174,5.648,1.304,1.764,2.619,2.319,0.495
641.5,26.36,4.679,1.531,0.3,2.155,3.977,5.381,1.301,1.761,2.532,2.317,0.519
642,26.36,4.45,1.528,0.3,2.155,3.782,5.117,1.299,1.757,2.444,2.315,0.544
642.5,26.39,4.685,1.531,0.3,2.155,3.982,5.388,1.301,1.761,2.534,2.317,0.519
643,26.39,4.938,1.534,0.3,2.155,4.197,5.678,1.304,1.764,2.629,2.319,0.492
643.5,26.41,5.273,1.538,0.3,2.155,4.482,6.065,1.307,1.768,2.753,2.321,0.457
644,26.41,5.618,1.541,0.3,2.155,4.775,6.461,1.31,1.772,2.878,2.324,0.421
644.5,26.43,5.97,1.544,0.3,2.155,5.074,6.865,1.312,1.776,3.002,2.326,0.386
645,26.43,5.903,1.543,0.3,2.155,5.018,6.789,1.312,1.775,2.979,2.325,0.393
645.5,26.46,5.711,1.542,0.3,2.155,4.854,6.568,1.311,1.773,2.911,2.324,0.412
646,26.46,5.52,1.54,0.3,2.155,4.692,6.349,1.309,1.771,2.842,2.323,0.431
646.5,26.47,5.332,1.538,0.3,2.155,4.532,6.132,1.307,1.769,2.774,2.322,0.451
647,26.47,5.21,1.537,0.3,2.155,4.429,5.992,1.306,1.767,2.73,2.321,0.463
647.5,26.49,5.118,1.536,0.3,2.155,4.35,5.886,1.306,1.766,2.696,2.32,0.473
648,26.49,5.483,1.54,0.3,2.155,4.661,6.306,1.309,1.771,2.829,2.323,0.435
648.5,26.51,5.384,1.539,0.3,2.155,4.576,6.191,1.308,1.77,2.793,2.322,0.445
649,26.51,5.174,1.537,0.3,2.155,4.398,5.951,1.306,1.767,2.717,2.321,0.467
649.5,26.54,4.811,1.533,0.3,2.155,4.09,5.533,1.303,1.762,2.582,2.318,0.505
650,26.54,4.385,1.527,0.3,2.155,3.728,5.043,1.298,1.756,2.419,2.314,0.551
650.5,26.56,4.198,1.524,0.3,2.155,3.569,4.828,1.296,1.753,2.347,2.312,0.571
651,26.56,5.153,1.536,0.3,2.155,4.38,5.926,1.306,1.767,2.709,2.32,0.469
651.5,26.57,5.898,1.543,0.3,2.155,5.013,6.782,1.312,1.775,2.977,2.325,0.393
652,26.57,6.528,1.548,0.3,2.155,5.548,7.507,1.316,1.781,3.196,2.329,0.331
652.5,26.6,7.176,1.553,0.3,2.155,6.1,8.253,1.32,1.785,3.415,2.332,0.269
653,26.6,7.563,1.555,0.3,2.155,6.428,8.697,1.322,1.788,3.543,2.333,0.233
653.5,26.62,7.338,1.554,0.3,2.155,6.237,8.438,1.321,1.787,3.469,2.332,0.254
654,26.62,7.115,1.552,0.3,2.155,6.048,8.183,1.319,1.785,3.395,2.332,0.275
654.5,26.64,7.13,1.552,0.3,2.155,6.061,8.2,1.319,1.785,3.4,2.332,0.274
655,26.64,7.331,1.554,0.3,2.155,6.232,8.431,1.32,1.787,3.467,2.332,0.255
655.5,26.66,7.373,1.554,0.3,2.155,6.267,8.479,1.321,1.787,3.481,2.333,0.251
656,26.66,7.357,1.554,0.3,2.155,6.253,8.46,1.321,1.787,3.475,2.333,0.252
656.5,26.68,7.395,1.554,0.3,2.155,6.286,8.504,1.321,1.787,3.488,2.333,0.249
657,26.68,7.679,1.555,0.3,2.155,6.527,8.831,1.322,1.789,3.581,2.334,0.223
657.5,26.7,7.965,1.557,0.3,2.155,6.77,9.16,1.323,1.791,3.674,2.335,0.196
658,26.7,7.981,1.557,0.3,2.155,6.784,9.178,1.324,1.791,3.679,2.335,0.195
658.5,26.72,7.713,1.556,0.3,2.155,6.556,8.87,1.322,1.789,3.592,2.334,0.219
659,26.72,7.909,1.557,0.3,2.155,6.722,9.095,1.323,1.79,3.656,2.335,0.201
659.5,26.74,8.513,1.56,0.3,2.155,7.236,9.79,1.326,1.794,3.849,2.337,0.147
660,26.74,8.407,1.559,0.3,2.155,7.987,8.827,1.481,1.637,3.816,2.336,0.156
660.5,26.76,8.144,1.558,0.3,2.155,7.737,8.552,1.48,1.636,3.732,2.336,0.18
661,26.76,7.92,1.557,0.3,2.155,7.524,8.316,1.479,1.635,3.659,2.335,0.2
661.5,26.77,8.197,1.558,0.3,2.155,7.787,8.607,1.48,1.636,3.749,2.336,0.175
662,26.77,8.477,1.559,0.3,2.155,8.053,8.9,1.482,1.637,3.838,2.337,0.15
662.5,26.8,8.744,1.561,0.3,2.155,8.307,9.181,1.483,1.639,3.922,2.337,0.126
663,26.8,8.381,1.559,0.3,2.155,7.962,8.8,1.481,1.637,3.807,2.336,0.159
663.5,26.81,8.149,1.558,0.3,2.155,7.742,8.557,1.48,1.636,3.733,2.336,0.18
664,26.81,8.089,1.558,0.3,2.155,7.685,8.494,1.48,1.635,3.714,2.335,0.185
664.5,26.83,8.029,1.557,0.3,2.155,7.628,8.431,1.479,1.635,3.695,2.335,0.19
665,26.83,8.344,1.559,0.3,2.155,7.927,8.761,1.481,1.637,3.795,2.336,0.162
665.5,26.85,8.653,1.56,0.3,2.155,8.22,9.085,1.482,1.638,3.893,2.337,0.134
666,26.85,8.383,1.559,0.3,2.155,7.964,8.802,1.481,1.637,3.808,2.336,0.158
666.5,26.87,8.116,1.558,0.3,2.155,7.71,8.522,1.48,1.636,3.723,2.335,0.183
667,26.87,7.852,1.556,0.3,2.155,7.46,8.245,1.479,1.634,3.638,2.334,0.207
667.5,26.9,7.955,1.557,0.3,2.155,7.557,8.353,1.479,1.635,3.671,2.335,0.197
668,26.9,8.082,1.558,0.3,2.155,7.678,8.486,1.48,1.635,3.712,2.335,0.186
668.5,26.91,8.209,1.558,0.3,2.155,7.799,8.62,1.48,1.636,3.753,2.336,0.174
669,26.91,8.335,1.559,0.3,2.155,7.918,8.752,1.481,1.637,3.793,2.336,0.163
669.5,26.94,8.461,1.559,0.3,2.155,8.038,8.884,1.481,1.637,3.833,2.337,0.151
670,26.94,8.612,1.56,0.3,2.155,8.182,9.043,1.482,1.638,3.881,2.337,0.138
670.5,26.95,9.046,1.562,0.3,2.155,8.594,9.499,1.484,1.64,4.016,2.338,0.1
671,26.95,9.031,1.562,0.3,2.155,8.579,9.482,1.484,1.64,4.012,2.338,0.101
671.5,26.97,8.891,1.561,0.3,2.155,8.447,9.336,1.483,1.639,3.968,2.338,0.113
672,26.97,9.067,1.562,0.3,2.155,8.614,9.521,1.484,1.64,4.023,2.338,0.098
672.5,26.99,8.777,1.561,0.3,2.155,8.338,9.216,1.483,1.639,3.932,2.338,0.123
673,26.99,8.489,1.56,0.3,2.155,8.065,8.914,1.482,1.638,3.842,2.337,0.149
673.5,27.01,8.246,1.558,0.3,2.155,7.834,8.658,1.48,1.636,3.764,2.336,0.171
674,27.01,8.007,1.557,0.3,2.155,7.607,8.407,1.479,1.635,3.688,2.335,0.192
674.5,27.03,7.771,1.556,0.3,2.155,7.382,8.16,1.478,1.634,3.611,2.334,0.214
675,27.03,7.536,1.555,0.3,2.155,7.159,7.913,1.477,1.632,3.534,2.333,0.236
675.5,27.05,7.303,1.553,0.3,2.155,6.938,7.668,1.476,1.631,3.458,2.332,0.258
676,27.05,7.048,1.552,0.3,2.155,6.696,7.401,1.474,1.629,3.373,2.331,0.281
676.5,27.07,6.797,1.55,0.3,2.155,6.457,7.137,1.473,1.628,3.288,2.33,0.305
677,27.07,3.853,2.079,0.12,2.452,3.66,4.046,1.975,2.182,3.085,2.327,0.363
677.5,27.09,3.443,2.073,0.12,2.452,3.271,3.615,1.969,2.176,2.794,2.322,0.445
678,27.09,3.237,2.069,0.12,2.452,3.075,3.399,1.966,2.173,2.646,2.319,0.487
